id,displayName,formattedAddress,rating,servesBeer,servesWine,servesCocktails,goodForChildren,goodForGroups,reservable,outdoorSeating,liveMusic,servesDessert,priceLevel,paymentOptions,acceptsCreditCards,acceptsDebitCards,acceptsCashOnly,acceptsNfc,Type
ChIJTWoH8DsxMTAR1UmZdyyD1kw,JIGO RAMEN PLAZA MEDAN FAIR,"Jl. Gatot Subroto No.30 30,30A, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20113, Indonesia","4,9",False,False,False,True,True,True,unknown,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,japanese_restaurant
ChIJe9hazakxMTARZE9uVEvCV7E,HIBIKI Japanese Teishoku Restaurant,"Ruko Royal Condominium, Jl. Palang Merah No.17, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151, Indonesia","4,5",True,unknown,unknown,True,True,True,False,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': False}",True,True,False,False,japanese_restaurant
ChIJXbwgCgcxMTARN65D-OLK7eY,Juro ramen,"Jl. Kumango No.13, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia","4,9",unknown,False,True,True,True,True,False,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,japanese_restaurant
ChIJm4FB_nMxMTARKREUoZKsJNw,"Chung Gi Wa, Korean BBQ","Jl. Imam Bonjol No.24 C/D, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20236, Indonesia","4,5",True,False,False,True,True,True,False,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,korean_restaurant
ChIJHZ322Z4xMTARgyPzSIdr9Jw,Galmaegi Korean BBQ Restaurant,"Jl. KH. Zainul Arifin No.122, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia","4,4",unknown,unknown,unknown,True,True,True,unknown,False,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,korean_restaurant
ChIJtdyhwtExMTARw5PY3hGJVBo,Angry Korean Bbq,"Jl. Airlangga No.11E, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia","4,4",False,False,False,True,True,True,False,False,False,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,korean_restaurant
ChIJU0u4wsAxMTARa3xqiqdnL1s,DaeBak Korean BBQ Restaurant,"T1&T2 Jati Junction, Jl. Timor, Perintis, Kec. Medan Tim., Kota Medan, Sumatera Utara 20236, Indonesia","4,3",True,True,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,korean_restaurant
ChIJWQ3C7UowMTARV9jyoPdb1jU,Kimbab Nara,"Jalan Brigjen Katamso Dalam No.56 E, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151, Indonesia","4,5",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,korean_restaurant
ChIJNyA8B9MxMTARJdx9fG9_Osk,Sagye,"Komplek Centrium, Jl. Brigjend Katamso No.9, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212, Indonesia","4,",unknown,unknown,unknown,True,True,True,unknown,False,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,korean_restaurant
ChIJhU9lzu8xMTARJFQbmxzg5BY,GAPYEONG Korean BBQ HM Joni,"Jl. HM. Joni No.41, Teladan Bar., Kec. Medan Area, Kota Medan, Sumatera Utara 20216, Indonesia","4,1",False,False,False,True,True,True,unknown,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,korean_restaurant
